Country,Code,Region,Population,GDP_billions,Land_Area,New_Cases
Afghanistan,AFG,Asia/Pacific,39232003,14.78686164,252071,7
Albania,ALB,Europe,3101621,18.25578748,10579,0
Algeria,DZA,Africa,44758398,163.044444,919595,0
Andorra,AND,Europe,85468,3.330281524,181,1
Angola,AGO,Africa,35981281,67.40428726,481353,860
Antigua and Barbuda,ATG,Americas,101489,1.471125926,170,
Argentina,ARG,Americas,46621847,487.2273391,1056641,142
Armenia,ARM,Europe,2989091,13.86140997,10992,0
Australia,AUS,Asia/Pacific,26461166,1552.667363,2966151,5
Austria,AUT,Europe,8940860,480.3684039,31818,0
Azerbaijan,AZE,Europe,10420515,54.62217647,31914,
Bahamas,BHS,Americas,358508,11.2086,3865,1
Bahrain,BHR,Middle East,1553886,38.86866303,293,1
Bangladesh,BGD,Asia/Pacific,167184465,416.2649429,50259,2988
Barbados,BRB,Americas,303431,4.8438,166,1
Belarus,BLR,Europe,9383853,68.20538071,78344,
Belgium,BEL,Europe,11913633,594.1041775,11691,0
Belize,BLZ,Americas,419137,2.4915,8807,0
Benin,BEN,Africa,14219908,17.14491895,43537,59
Bhutan,BTN,Asia/Pacific,876181,2.539552985,14717,10
Bolivia (Plurinational State of),BOL,Americas,12186079,40.40820853,418264,38
Bosnia and Herzegovina,BIH,Europe,3807764,23.36536164,19691,0
Botswana,BWA,Africa,2417596,17.61479127,218816,3
Brazil,BRA,Americas,218689757,1608.981456,3227095,19635
Brunei Darussalam,BRN,Asia/Pacific,484991,14.00656958,2035,0
Bulgaria,BGR,Europe,6827736,84.05631273,41915,0
Burkina Faso,BFA,Africa,22489126,19.73761511,105638,212
Burundi,BDI,Africa,13162952,2.779813489,9915,471
Cabo Verde,CPV,Africa,603901,1.936174043,1556,5
Cambodia,KHM,Asia/Pacific,16891245,26.96106112,68155,71
Cameroon,CMR,Africa,30135732,45.33828334,182514,196
Canada,CAN,Americas,38516736,1988.336332,3511022,
Central African Republic,CAF,Africa,5552228,2.516498299,240534,402
Chad,TCD,Africa,18523165,11.7799808,486180,447
Chile,CHL,Americas,18549457,317.0585087,287079,2
Colombia,COL,Americas,49336454,314.4641372,428380,294
Comoros,COM,Africa,888378,1.296089633,719,263
Cook Islands,COK,Asia/Pacific,7939,,93,0
Costa Rica,CRI,Americas,5256612,64.28243867,19714,10
Cote d'Ivoire,CIV,Africa,29344847,70.04319148,122780,483
Croatia,HRV,Europe,4169239,68.95508328,21606,0
Cuba,CUB,Americas,10985974,,41097,140
